id,Sist,Subs,Equ,Comp,Equipo,Componente,Parte,Tipo_equipo,Criticidad,Sigla,Tag,Plan,AMEF,VE,VE-S2-R1,VE-S2-I1,VE-S2-M1,VE-S2-TO,VE-S2-CT,VE-S2-LAA,VE-S1-M1,VE-S1-R1,VE-S1-TO,VE-S1-CT,VE-S1-LAA,VE-LIN-VH,VE-EDF-EIR,VE-EDF-EOB,VE-EDF-EAO,VE-EDF-ELB,VE-S2-I1-TMC,BL,BL-S1-M1,BL-S1-R1,BL-S1-TO,BL-S1-CT,BL-S1-LAA,BL-S2-R1,BL-S2-I1,BL-S2-M1,BL-S2-TO,BL-S2-CT,BL-S2-LAA,BL-LIN-VH,BL-EDF-ESJ,BL-EDF-ETR,BL-EDF-EBH,BL-EDF-EVI,BL-S1-M1-TMC,BL-S2-M1-TMC,NA,NA-S1-R1,NA-S1-I1,NA-S1-M1,NA-S1-TO,NA-S1-CT,NA-S1-LAA,NA-S2-M1,NA-S2-R1,NA-S2-TO,NA-S2-CT,NA-S2-LAA,NA-LIN-VH,NA-EDF-ECN,NA-EDF-EAR,NA-EDF-EPE,NA-EDF-EVI,NA-S1-R1-TMC,CE,CE-S1-R1,CE-S1-M1,CE-S1-TO,CE-S1-CT,CE-S1-LAA,CE-S2-R1,CE-S2-M1,CE-S2-R2,CE-S2-TO,CE-S2-CT,CE-S2-CT.1,CE-S2-LAA,CE-LIN-VH,CE-EDF-ELI,CE-EDF-EPT,CE-EDF-ETR,CE-EDF-EEP,CE-S1-R1-TMC,CA,CA-S1-R1,CA-S1-M1,CA-S1-CT,CA-S1-TO,CA-S1-LAA,CA-LIN-VH,CA-EDF-EVL,CA-EDF-EBU,CA-S1-M1-TMC,PL,PL-S1-M1,PL-S1-I1,PL-S1-R1,PL-S1-TO,PL-S1-CT,PL-S1-LAA,PL-LIN-VH,PL-EDF-E16,PL-EDF-EFM,PL-EDF-EMR,PL-S1-I1-TMC,Unnamed: 110
23.0,ACC,PRI,ATRA,EPAT,,ELEMENTOS DE PROTECCION DEL ARBOL DE  TRANSMISION,,Componente,ALTA,EPAT,ACC-PRI-ATRA-EPAT,PROTECCION DEL ARBOL DE TRANSMISION (LBD),False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,
24.0,ACC,PRI,ACV,,ACOPLAMIENTO VOLANTE,,,Equipo,ALTA,ACV,ACC-PRI-ACV,,False,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,
25.0,ACC,PRI,ACV,EAVM,,ACOPLAMIENTO DEL VOLANTE MOTRIZ,,Componente,ALTA,EAVM,ACC-PRI-ACV-EAVM,ACOPLAMIENTO DEL VOLANTE MOTRIZ (LBD),False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,
26.0,ACC,PRI,ACV,EAVR,,ACOPLAMIENTO DEL VOLANTE RETORNO,,Componente,ALTA,EAVR,ACC-PRI-ACV-EAVR,ACOPLAMIENTO DEL VOLANTE RETORNO (LBD),False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,
27.0,ACC,PRI,VMO,,VOLANTE,,,Equipo,MUY ALTA,VMO,ACC-PRI-VMO,,False,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,
28.0,ACC,PRI,VMO,ERV,,ESTRUCTURA Y REVESTIMIENTO DE VOLANTE,,Componente,MUY ALTA,ERV,ACC-PRI-VMO-ERV,ESTRUCTURA Y REVESTIMIENTO DE VOLANTE (LBD),False,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,
29.0,ACC,PRI,VMO,ERV,,ESTRUCTURA Y REVESTIMIENTO DE VOLANTE DOBLE GARGANTA,,Componente,MUY ALTA,ERVD,ACC-PRI-VMO-ERVD,ESTRUCTURA Y REVESTIMIENTO DE VOLANTE DOBLE GARGANTA (LBD),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
30.0,ACC,PRI,VMO,ECV,,CONTROL DE VOLANTE,,Componente,MUY ALTA,CDV,ACC-PRI-VMO-ECV,CONTROL DE VOLANTE (LBD),False,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,
31.0,ACC,PRI,VMO,APV,,APOYO  VOLANTE,,Componente,MUY ALTA,APV,ACC-PRI-VMO-APV,APOYO VOLANTE (LBD),False,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,
2.0,ACC,AEME,,,ACCIONAMIENTO DE EMERGENCIA,,,Subsistema,,AEME,,,False,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,16
